[2024-04-23 00:14:25] [class-ss-archive-creation-job.php:83] Starting a job; no job is presently running
[2024-04-23 00:14:26] [class-ss-setup-task.php:150] Adding file /Users/brandon/Local Sites/premier-printing-limited/app/public/wp-content/themes/twentytwentyfour/screenshot.png to queue as: https://premierprintinglimited.local/wp-content/themes/twentytwentyfour/screenshot.png
[2024-04-23 00:14:26] [class-ss-setup-task.php:150] Adding file /Users/brandon/Local Sites/premier-printing-limited/app/public/wp-content/themes/twentytwentyfour/styles/fossil.json to queue as: https://premierprintinglimited.local/wp-content/themes/twentytwentyfour/styles/fossil.json
[2024-04-23 00:14:26] [class-ss-setup-task.php:150] Adding file /Users/brandon/Local Sites/premier-printing-limited/app/public/wp-content/themes/twentytwentyfour/styles/ice.json to queue as: https://premierprintinglimited.local/wp-content/themes/twentytwentyfour/styles/ice.json
[2024-04-23 00:14:26] [class-ss-setup-task.php:150] Adding file /Users/brandon/Local Sites/premier-printing-limited/app/public/wp-content/themes/twentytwentyfour/styles/maelstrom.json to queue as: https://premierprintinglimited.local/wp-content/themes/twentytwentyfour/styles/maelstrom.json
[2024-04-23 00:14:26] [class-ss-setup-task.php:150] Adding file /Users/brandon/Local Sites/premier-printing-limited/app/public/wp-content/themes/twentytwentyfour/styles/mint.json to queue as: https://premierprintinglimited.local/wp-content/themes/twentytwentyfour/styles/mint.json
[2024-04-23 00:14:26] [class-ss-setup-task.php:150] Adding file /Users/brandon/Local Sites/premier-printing-limited/app/public/wp-content/themes/twentytwentyfour/styles/rust.json to queue as: https://premierprintinglimited.local/wp-content/themes/twentytwentyfour/styles/rust.json
[2024-04-23 00:14:26] [class-ss-setup-task.php:150] Adding file /Users/brandon/Local Sites/premier-printing-limited/app/public/wp-content/themes/twentytwentyfour/styles/ember.json to queue as: https://premierprintinglimited.local/wp-content/themes/twentytwentyfour/styles/ember.json
[2024-04-23 00:14:26] [class-ss-setup-task.php:150] Adding file /Users/brandon/Local Sites/premier-printing-limited/app/public/wp-content/themes/twentytwentyfour/styles/onyx.json to queue as: https://premierprintinglimited.local/wp-content/themes/twentytwentyfour/styles/onyx.json
[2024-04-23 00:14:26] [class-ss-setup-task.php:150] Adding file /Users/brandon/Local Sites/premier-printing-limited/app/public/wp-content/themes/twentytwentyfour/style.css to queue as: https://premierprintinglimited.local/wp-content/themes/twentytwentyfour/style.css
[2024-04-23 00:14:26] [class-ss-setup-task.php:150] Adding file /Users/brandon/Local Sites/premier-printing-limited/app/public/wp-content/themes/twentytwentyfour/parts/post-meta.html to queue as: https://premierprintinglimited.local/wp-content/themes/twentytwentyfour/parts/post-meta.html
[2024-04-23 00:14:26] [class-ss-setup-task.php:150] Adding file /Users/brandon/Local Sites/premier-printing-limited/app/public/wp-content/themes/twentytwentyfour/parts/footer.html to queue as: https://premierprintinglimited.local/wp-content/themes/twentytwentyfour/parts/footer.html
